window_size,entry_threshold,exit_threshold,position_limit,order_size,total_pnl,total_trades
10,2.5,0.4,15,5,42457.5,5486
10,2.5,0.4,15,7,59440.5,5486
10,2.5,0.4,15,10,84915.0,5486
10,2.5,0.4,20,3,25474.5,5486
10,2.5,0.4,20,5,42457.5,5486
10,2.5,0.4,20,7,59440.5,5486
10,2.5,0.4,20,10,84915.0,5486
10,2.5,0.4,25,3,25474.5,5486
10,2.5,0.4,25,5,42457.5,5486
10,2.5,0.4,25,7,59440.5,5486
10,2.5,0.4,25,10,84915.0,5486
10,2.5,0.4,30,3,25474.5,5486
10,2.5,0.4,30,5,42457.5,5486
10,2.5,0.4,30,7,59440.5,5486
10,2.5,0.4,30,10,84915.0,5486
10,2.5,0.5,10,3,26242.5,5658
10,2.5,0.5,10,5,43737.5,5658
10,2.5,0.5,10,7,61232.5,5658
10,2.5,0.5,10,10,87475.0,5658
10,2.5,0.5,15,3,26242.5,5658
10,2.5,0.5,15,5,43737.5,5658
10,2.5,0.5,15,7,61232.5,5658
10,2.5,0.5,15,10,87475.0,5658
10,2.5,0.5,20,3,26242.5,5658
10,2.5,0.5,20,5,43737.5,5658
10,2.5,0.5,20,7,61232.5,5658
10,2.5,0.5,20,10,87475.0,5658
10,2.5,0.5,25,3,26242.5,5658
10,2.5,0.5,25,5,43737.5,5658
10,2.5,0.5,25,7,61232.5,5658
10,2.5,0.5,25,10,87475.0,5658
10,2.5,0.5,30,3,26242.5,5658
10,2.5,0.5,30,5,43737.5,5658
10,2.5,0.5,30,7,61232.5,5658
10,2.5,0.5,30,10,87475.0,5658
10,2.5,0.6,10,3,27351.0,5886
10,2.5,0.6,10,5,45585.0,5886
10,2.5,0.6,10,7,63819.0,5886
10,2.5,0.6,10,10,91170.0,5886
10,2.5,0.6,15,3,27351.0,5886
10,2.5,0.6,15,5,45585.0,5886
10,2.5,0.6,15,7,63819.0,5886
10,2.5,0.6,15,10,91170.0,5886
10,2.5,0.6,20,3,27351.0,5886
10,2.5,0.6,20,5,45585.0,5886
10,2.5,0.6,20,7,63819.0,5886
10,2.5,0.6,20,10,91170.0,5886
10,2.5,0.6,25,3,27351.0,5886
10,2.5,0.6,25,5,45585.0,5886
10,2.5,0.6,25,7,63819.0,5886
10,2.5,0.6,25,10,91170.0,5886
10,2.5,0.6,30,3,27351.0,5886
10,2.5,0.6,30,5,45585.0,5886
10,2.5,0.6,30,7,63819.0,5886
10,2.5,0.6,30,10,91170.0,5886
10,2.5,0.7,10,3,28198.5,6048
10,2.5,0.7,10,5,46997.5,6048
10,2.5,0.7,10,7,65796.5,6048
10,2.5,0.7,10,10,93995.0,6048
10,2.5,0.7,15,3,28198.5,6048
10,2.5,0.7,15,5,46997.5,6048
10,2.5,0.7,15,7,65796.5,6048
10,2.5,0.7,15,10,93995.0,6048
10,2.5,0.7,20,3,28198.5,6048
10,2.5,0.7,20,5,46997.5,6048
10,2.5,0.7,20,7,65796.5,6048
10,2.5,0.7,20,10,93995.0,6048
10,2.5,0.7,25,3,28198.5,6048
10,2.5,0.7,25,5,46997.5,6048
10,2.5,0.7,25,7,65796.5,6048
10,2.5,0.7,25,10,93995.0,6048
10,2.5,0.7,30,3,28198.5,6048
10,2.5,0.7,30,5,46997.5,6048
10,2.5,0.7,30,7,65796.5,6048
10,2.5,0.7,30,10,93995.0,6048
10,3.0,0.3,10,3,14218.5,2902
10,3.0,0.3,10,5,23697.5,2902
10,3.0,0.3,10,7,33176.5,2902
10,3.0,0.3,10,10,47395.0,2902
10,3.0,0.3,15,3,14218.5,2902
10,3.0,0.3,15,5,23697.5,2902
10,3.0,0.3,15,7,33176.5,2902
10,3.0,0.3,15,10,47395.0,2902
10,3.0,0.3,20,3,14218.5,2902
10,3.0,0.3,20,5,23697.5,2902
10,3.0,0.3,20,7,33176.5,2902
10,3.0,0.3,20,10,47395.0,2902
10,3.0,0.3,25,3,14218.5,2902
10,3.0,0.3,25,5,23697.5,2902
10,3.0,0.3,25,7,33176.5,2902
10,3.0,0.3,25,10,47395.0,2902
10,3.0,0.3,30,3,14218.5,2902
10,3.0,0.3,30,5,23697.5,2902
10,3.0,0.3,30,7,33176.5,2902
10,3.0,0.3,30,10,47395.0,2902
10,3.0,0.4,10,3,15108.0,3072
10,3.0,0.4,10,5,25180.0,3072
10,3.0,0.4,10,7,35252.0,3072
10,3.0,0.4,10,10,50360.0,3072
10,3.0,0.4,15,3,15108.0,3072
10,3.0,0.4,15,5,25180.0,3072
10,3.0,0.4,15,7,35252.0,3072
10,3.0,0.4,15,10,50360.0,3072
10,3.0,0.4,20,3,15108.0,3072
10,3.0,0.4,20,5,25180.0,3072
10,3.0,0.4,20,7,35252.0,3072
10,3.0,0.4,20,10,50360.0,3072
10,3.0,0.4,25,3,15108.0,3072
10,3.0,0.4,25,5,25180.0,3072
10,3.0,0.4,25,7,35252.0,3072
10,3.0,0.4,25,10,50360.0,3072
10,3.0,0.4,30,3,15108.0,3072
10,3.0,0.4,30,5,25180.0,3072
10,3.0,0.4,30,7,35252.0,3072
10,3.0,0.4,30,10,50360.0,3072
10,3.0,0.5,10,3,15349.5,3124
10,3.0,0.5,10,5,25582.5,3124
10,3.0,0.5,10,7,35815.5,3124
10,3.0,0.5,10,10,51165.0,3124
10,3.0,0.5,15,3,15349.5,3124
10,3.0,0.5,15,5,25582.5,3124
10,3.0,0.5,15,7,35815.5,3124
10,3.0,0.5,15,10,51165.0,3124
10,3.0,0.5,20,3,15349.5,3124
10,3.0,0.5,20,5,25582.5,3124
10,3.0,0.5,20,7,35815.5,3124
10,3.0,0.5,20,10,51165.0,3124
10,3.0,0.5,25,3,15349.5,3124
10,3.0,0.5,25,5,25582.5,3124
10,3.0,0.5,25,7,35815.5,3124
10,3.0,0.5,25,10,51165.0,3124
10,3.0,0.5,30,3,15349.5,3124
10,3.0,0.5,30,5,25582.5,3124
10,3.0,0.5,30,7,35815.5,3124
10,3.0,0.5,30,10,51165.0,3124
10,3.0,0.6,10,3,15655.5,3192
10,3.0,0.6,10,5,26092.5,3192
10,3.0,0.6,10,7,36529.5,3192
10,3.0,0.6,10,10,52185.0,3192
10,3.0,0.6,15,3,15655.5,3192
10,3.0,0.6,15,5,26092.5,3192
10,3.0,0.6,15,7,36529.5,3192
10,3.0,0.6,15,10,52185.0,3192
10,3.0,0.6,20,3,15655.5,3192
10,3.0,0.6,20,5,26092.5,3192
10,3.0,0.6,20,7,36529.5,3192
10,3.0,0.6,20,10,52185.0,3192
10,3.0,0.6,25,3,15655.5,3192
10,3.0,0.6,25,5,26092.5,3192
10,3.0,0.6,25,7,36529.5,3192
10,3.0,0.6,25,10,52185.0,3192
