imbalance_threshold,take_profit,stop_loss,position_limit,order_size,total_pnl,total_trades
0.3,1.0,0.5,25,5,250.0,90
0.3,1.0,0.5,25,7,350.0,90
0.3,1.0,0.5,25,10,500.0,90
0.3,1.0,0.5,30,3,150.0,90
0.3,1.0,0.5,30,5,250.0,90
0.3,1.0,0.5,30,7,350.0,90
0.3,1.0,0.5,30,10,500.0,90
0.3,1.0,1.0,10,3,141.0,90
0.3,1.0,1.0,10,5,235.0,90
0.3,1.0,1.0,10,7,329.0,90
0.3,1.0,1.0,10,10,470.0,90
0.3,1.0,1.0,15,3,141.0,90
0.3,1.0,1.0,15,5,235.0,90
0.3,1.0,1.0,15,7,329.0,90
0.3,1.0,1.0,15,10,470.0,90
0.3,1.0,1.0,20,3,141.0,90
0.3,1.0,1.0,20,5,235.0,90
0.3,1.0,1.0,20,7,329.0,90
0.3,1.0,1.0,20,10,470.0,90
0.3,1.0,1.0,25,3,141.0,90
0.3,1.0,1.0,25,5,235.0,90
0.3,1.0,1.0,25,7,329.0,90
0.3,1.0,1.0,25,10,470.0,90
0.3,1.0,1.0,30,3,141.0,90
0.3,1.0,1.0,30,5,235.0,90
0.3,1.0,1.0,30,7,329.0,90
0.3,1.0,1.0,30,10,470.0,90
0.3,1.0,1.5,10,3,129.0,90
0.3,1.0,1.5,10,5,215.0,90
0.3,1.0,1.5,10,7,301.0,90
0.3,1.0,1.5,10,10,430.0,90
0.3,1.0,1.5,15,3,129.0,90
0.3,1.0,1.5,15,5,215.0,90
0.3,1.0,1.5,15,7,301.0,90
0.3,1.0,1.5,15,10,430.0,90
0.3,1.0,1.5,20,3,129.0,90
0.3,1.0,1.5,20,5,215.0,90
0.3,1.0,1.5,20,7,301.0,90
0.3,1.0,1.5,20,10,430.0,90
0.3,1.0,1.5,25,3,129.0,90
0.3,1.0,1.5,25,5,215.0,90
0.3,1.0,1.5,25,7,301.0,90
0.3,1.0,1.5,25,10,430.0,90
0.3,1.0,1.5,30,3,129.0,90
0.3,1.0,1.5,30,5,215.0,90
0.3,1.0,1.5,30,7,301.0,90
0.3,1.0,1.5,30,10,430.0,90
0.3,1.0,2.0,10,3,135.0,90
0.3,1.0,2.0,10,5,225.0,90
0.3,1.0,2.0,10,7,315.0,90
0.3,1.0,2.0,10,10,450.0,90
0.3,1.0,2.0,15,3,135.0,90
0.3,1.0,2.0,15,5,225.0,90
0.3,1.0,2.0,15,7,315.0,90
0.3,1.0,2.0,15,10,450.0,90
0.3,1.0,2.0,20,3,135.0,90
0.3,1.0,2.0,20,5,225.0,90
0.3,1.0,2.0,20,7,315.0,90
0.3,1.0,2.0,20,10,450.0,90
0.3,1.0,2.0,25,3,135.0,90
0.3,1.0,2.0,25,5,225.0,90
0.3,1.0,2.0,25,7,315.0,90
0.3,1.0,2.0,25,10,450.0,90
0.3,1.0,2.0,30,3,135.0,90
0.3,1.0,2.0,30,5,225.0,90
0.3,1.0,2.0,30,7,315.0,90
0.3,1.0,2.0,30,10,450.0,90
0.3,1.0,2.5,10,3,123.0,90
0.3,1.0,2.5,10,5,205.0,90
0.3,1.0,2.5,10,7,287.0,90
0.3,1.0,2.5,10,10,410.0,90
0.3,1.0,2.5,15,3,123.0,90
0.3,1.0,2.5,15,5,205.0,90
